tick,time
1306,1.3552
1307,0.8045
1308,4.7906
1309,1.1297
1310,4.5762
1311,0.5084
1312,0.0393
1313,0.7996
1314,0.0861
1315,0.0396
1316,0.4103
1317,0.5153
1318,0.2419
1319,0.0325
1320,0.0468
1321,0.0352
1322,0.9996
1323,0.0378
1324,0
1325,0.0392
1326,0.1951
1327,1.2721
1328,4.2011
1329,0.6331
1330,0.3586
1331,1.1094
1332,0.0339
1333,0.0644
1334,0.1351
1335,0.041
1336,0.056
1337,0.8866
1338,1.5787
1339,0.8251
1340,0.3143
1341,0.6641
1342,0.0401
1343,0.0401
1344,0
1345,0.0359
1346,0.058
1347,0.9572
1348,0.1215
1349,4.3041
1350,2.1171
1351,1.8052
1352,1.6957
1353,5.6873
1354,0.3448
1355,0.0382
1356,0.0469
1357,0.0433
1358,0.0314
1359,0.1705
1360,0.0509
1361,1.5246
1362,7.1334
1363,0.8125
1364,0
1365,0.0349
1366,3.3619
1367,0.0349
1368,0.1238
1369,1.2996
1370,0.0313
1371,0.1071
1372,0.1972
1373,1.0781
1374,0.0863
1375,0.0382
1376,0.6428
1377,0.041
1378,2.2638
1379,2.9598
1380,0.053
1381,0.0274
1382,0.6329
1383,0.5332
1384,0.4276
1385,0.0355
1386,1.7955
1387,0.6435
1388,0.7661
1389,0.042
1390,0.0348
1391,0.1068
1392,0.0358
1393,0.4244
1394,1.8355
1395,1.4037
1396,0.0516
1397,1.3381
1398,0.0358
1399,0.0352
1400,0.043
1401,0.0322
1402,0.0444
1403,0.0345
1404,0.345
1405,0.7224
1406,0.7467
1407,1.3786
1408,0.3489
1409,0.0429
1410,0.2343
1411,0.8046
1412,0.0361
1413,0.0586
1414,0.0847
1415,0.0404
1416,0.0481
1417,0.0442
1418,0.2256
1419,0.366
1420,0.0488
1421,1.5755
1422,0.0369
1423,0.3122
1424,0.0038
1425,0.0407
1426,0.2565
1427,0.6293
1428,0.1054
1429,0.6649
1430,0.0378
1431,1.4445
1432,0.0381
1433,1.0017
1434,0.0936
1435,0.4472
1436,1.3443
1437,0.7615
1438,0.0296
1439,0.0366
1440,1.6483
1441,1.6829
1442,0.631
1443,2.4608
1444,4.7182
1445,0.0368
1446,0.0554
1447,2.5676
1448,0.116
1449,0.0371
1450,0.5028
1451,1.8207
1452,0.0362
1453,0.057
1454,0.0795
1455,0.8635
1456,2.7613
1457,0.0462
1458,0.7363
1459,0.9549
1460,0.0495
1461,1.0366
1462,0.0452
1463,1.2831
1464,1.208
1465,0.0374
1466,0.0565
1467,0.0429
1468,0.3969
1469,0.0389
1470,0.0343
1471,1.3385
1472,0.3832
1473,0.0554
1474,0.0842
1475,0.0438
1476,0.0532
1477,0.0478
1478,1.06
1479,1.9743
1480,0.5344
1481,0.0335
1482,0.0385
1483,0.0557
1484,0.8039
1485,0.3026
1486,0.0587
1487,0.6148
1488,0.2107
1489,0.3809
1490,0.0338
1491,0.1099
1492,0.036
1493,4.1043
1494,0.0873
1495,1.51
1496,0.0478
1497,0.0406
1498,0.6783
1499,0.0283
1500,0.0467
